Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,122.75,166.21,5.114,-0.33523,1.280e-2,0.0204,0.0052,5351.111,2.375e-4,2.375e-4,2.375e-4,0_1:1.112e-2,0_1:334.222
Q1,132.1,140.56,5.161,-0.31827,3.040e-2,0.0556,0.0052,5351.111,5.899e-4,5.899e-4,5.899e-4,1_0:1.112e-2; 1_4:7.006e-3; 1_2:1.342e-2,1_0:369.778; 1_4:298.667; 1_2:504.889
Q2,65.53,87.23,5.311,-0.33184,2.680e-2,0.0454,0.0082,5351.111,6.328e-4,6.328e-4,6.328e-4,2_3:1.464e-2; 2_1:1.342e-2,2_3:483.556; 2_1:469.333
Q3,95.61,138.94,5.47,-0.31579,1.360e-2,0.0236,0.0036,5351.111,2.519e-4,2.519e-4,2.519e-4,3_2:1.464e-2; 3_5:9.636e-3,3_2:519.111; 3_5:583.111
Q4,85.9,104.18,5.353,-0.33131,1.200e-2,0.0166,0.0074,5351.111,2.245e-4,2.245e-4,2.245e-4,4_7:1.005e-2; 4_1:7.006e-3,4_7:512; 4_1:263.111
Q5,101.12,114.79,5.303,-0.3322,1.380e-2,0.0252,0.0024,5351.111,2.939e-4,2.939e-4,2.939e-4,5_3:9.636e-3; 5_8:6.623e-3,5_3:547.556; 5_8:270.222
Q6,111.33,14.74,5.136,-0.33611,3.690e-2,0.063,0.0108,5351.111,5.742e-4,5.742e-4,5.742e-4,6_7:9.708e-3,6_7:405.333
Q7,102.62,163.89,5.203,-0.31733,2.220e-2,0.0298,0.0146,5351.111,2.535e-4,2.535e-4,2.535e-4,7_4:1.005e-2; 7_6:9.708e-3; 7_10:6.815e-3,7_4:476.444; 7_6:369.778; 7_10:298.667
Q8,64.77,62.49,5.175,-0.31746,2.030e-2,0.032,0.0086,5351.111,2.599e-4,2.599e-4,2.599e-4,8_9:7.418e-3; 8_11:1.483e-2; 8_5:6.623e-3,8_9:412.444; 8_11:348.444; 8_5:305.778
Q9,100.03,51.66,5.254,-0.33386,1.250e-2,0.022,0.003,5351.111,2.999e-4,2.999e-4,2.999e-4,9_8:7.418e-3,9_8:448
Q10,104.94,130.36,5.427,-0.32983,1.560e-2,0.0218,0.0094,5351.111,2.249e-4,2.249e-4,2.249e-4,10_12:1.185e-2; 10_7:6.815e-3,10_12:775.111; 10_7:263.111
Q11,69.05,64.75,5.39,-0.33061,2.460e-2,0.0358,0.0134,5351.111,4.011e-4,4.011e-4,4.011e-4,11_8:1.483e-2; 11_14:9.974e-3,11_8:312.889; 11_14:348.444
Q12,126.78,147.72,5.264,-0.31645,1.780e-2,0.0244,0.0112,5351.111,2.257e-4,2.257e-4,2.257e-4,12_15:6.693e-3; 12_10:1.185e-2; 12_13:8.180e-3,12_15:376.889; 12_10:739.556; 12_13:348.444
Q13,123.5,122.46,5.038,-0.33734,1.090e-2,0.0188,0.003,5351.111,2.896e-4,2.896e-4,2.896e-4,13_14:9.884e-3; 13_12:8.180e-3,13_14:398.222; 13_12:384
Q14,126.1,92.93,5.205,-0.31733,1.180e-2,0.0182,0.0054,5351.111,2.013e-4,2.013e-4,2.013e-4,14_13:9.884e-3; 14_11:9.974e-3,14_13:362.667; 14_11:384
Q15,55.85,83.39,5.126,-0.33428,1.450e-2,0.0212,0.0078,5351.111,2.605e-4,2.605e-4,2.605e-4,15_12:6.693e-3,15_12:412.444
